"amount","denom","address"
"10_000_000__000_000","upenumbra","penumbrav2t1df3c98dup489awqpdfszr5ww2tjvyl5kmdgdls4x3d3chzdr38y3ppm6drla7taxl9gr7lj4zyqznlwf70a77avf6v8w92pl9aqpvlmeal6avl2s4xne6pkz36lhe0w8pslz4e"
"200_000","gm","penumbrav2t1df3c98dup489awqpdfszr5ww2tjvyl5kmdgdls4x3d3chzdr38y3ppm6drla7taxl9gr7lj4zyqznlwf70a77avf6v8w92pl9aqpvlmeal6avl2s4xne6pkz36lhe0w8pslz4e"
"200_000","gn","penumbrav2t1df3c98dup489awqpdfszr5ww2tjvyl5kmdgdls4x3d3chzdr38y3ppm6drla7taxl9gr7lj4zyqznlwf70a77avf6v8w92pl9aqpvlmeal6avl2s4xne6pkz36lhe0w8pslz4e"
"100_000","pizza","penumbrav2t1df3c98dup489awqpdfszr5ww2tjvyl5kmdgdls4x3d3chzdr38y3ppm6drla7taxl9gr7lj4zyqznlwf70a77avf6v8w92pl9aqpvlmeal6avl2s4xne6pkz36lhe0w8pslz4e"
"1000","cube","penumbrav2t1df3c98dup489awqpdfszr5ww2tjvyl5kmdgdls4x3d3chzdr38y3ppm6drla7taxl9gr7lj4zyqznlwf70a77avf6v8w92pl9aqpvlmeal6avl2s4xne6pkz36lhe0w8pslz4e"
"50_000","nala","penumbrav2t1df3c98dup489awqpdfszr5ww2tjvyl5kmdgdls4x3d3chzdr38y3ppm6drla7taxl9gr7lj4zyqznlwf70a77avf6v8w92pl9aqpvlmeal6avl2s4xne6pkz36lhe0w8pslz4e"
"1_000__000_000","upenumbra","penumbrav2t13vh0fkf3qkqjacpm59g23ufea9n5us45e4p5h6hty8vg73r2t8g5l3kynad87u0n9eragf3hhkgkhqe5vhngq2cw493k48c9qg9ms4epllcmndd6ly4v4dw2jcnxaxzjqnlvnw"
"100","gm","penumbrav2t13vh0fkf3qkqjacpm59g23ufea9n5us45e4p5h6hty8vg73r2t8g5l3kynad87u0n9eragf3hhkgkhqe5vhngq2cw493k48c9qg9ms4epllcmndd6ly4v4dw2jcnxaxzjqnlvnw"
"1","cube","penumbrav2t13vh0fkf3qkqjacpm59g23ufea9n5us45e4p5h6hty8vg73r2t8g5l3kynad87u0n9eragf3hhkgkhqe5vhngq2cw493k48c9qg9ms4epllcmndd6ly4v4dw2jcnxaxzjqnlvnw"
"1_000_000__000_000","upenumbra","penumbrav2t13ahs2s8ms6q0utgetty3zflwteepg87gqm88sqqcdj2mjhhydkykwu6n7dk557x84aa9a6cqhdytw0zk33xjgmuedprrlunc86up6zps8juej9rpuuydjtk7jaxpmrw2a64mcf"
"20_000","gm","penumbrav2t13ahs2s8ms6q0utgetty3zflwteepg87gqm88sqqcdj2mjhhydkykwu6n7dk557x84aa9a6cqhdytw0zk33xjgmuedprrlunc86up6zps8juej9rpuuydjtk7jaxpmrw2a64mcf"
"20_000","gn","penumbrav2t13ahs2s8ms6q0utgetty3zflwteepg87gqm88sqqcdj2mjhhydkykwu6n7dk557x84aa9a6cqhdytw0zk33xjgmuedprrlunc86up6zps8juej9rpuuydjtk7jaxpmrw2a64mcf"
